name  lat	long	url	url-s	url-p	username	
Oh no!  La La Mallakoff	-37.868326	144.978264	 http://farm7.staticflickr.com/6015/6011045357_59b8dd2cd4_q.jpg	 http://farm7.staticflickr.com/6015/6011045357_59b8dd2cd4_m.jpg	 http://www.flickr.com/photos/61825161@N06/6011045357	 yunkle mallakoff	
mini feed	-37.868279	144.980903	 http://farm4.staticflickr.com/3416/5815432812_a011e2ab81_q.jpg	 http://farm4.staticflickr.com/3416/5815432812_a011e2ab81_m.jpg	 http://www.flickr.com/photos/61825161@N06/5815432812	 yunkle mallakoff	
grab	-37.868275	144.99322	 http://farm6.staticflickr.com/5105/5814856227_62010b16ab_q.jpg	 http://farm6.staticflickr.com/5105/5814856227_62010b16ab_m.jpg	 http://www.flickr.com/photos/61825161@N06/5814856227	 yunkle mallakoff	
Danger Audrey!	-37.868196	144.989361	 http://farm7.staticflickr.com/6172/6150070668_4db974cf58_q.jpg	 http://farm7.staticflickr.com/6172/6150070668_4db974cf58_m.jpg	 http://www.flickr.com/photos/51434089@N04/6150070668	 red stilletto	
Point Ormond Over View	-37.868194	144.979305	 http://farm7.staticflickr.com/6143/5946194349_c98543b2e9_q.jpg	 http://farm7.staticflickr.com/6143/5946194349_c98543b2e9_m.jpg	 http://www.flickr.com/photos/61825161@N06/5946194349	 yunkle mallakoff	
Up to the Point	-37.868042	144.979101	 http://farm7.staticflickr.com/6198/6129521824_7f1a40c9a1_q.jpg	 http://farm7.staticflickr.com/6198/6129521824_7f1a40c9a1_m.jpg	 http://www.flickr.com/photos/61825161@N06/6129521824	 yunkle mallakoff	
Mazda 3 MPS	-37.8677	144.9758	 http://farm8.staticflickr.com/7023/6736320657_771cc4703a_q.jpg	 http://farm8.staticflickr.com/7023/6736320657_771cc4703a_m.jpg	 http://www.flickr.com/photos/73878803@N05/6736320657	 stuARTfoto	
Mazda 3 MPS	-37.8677	144.9758	 http://farm8.staticflickr.com/7158/6736290703_72e5398c39_q.jpg	 http://farm8.staticflickr.com/7158/6736290703_72e5398c39_m.jpg	 http://www.flickr.com/photos/73878803@N05/6736290703	 stuARTfoto	
Mazda 3 MPS	-37.8677	144.9758	 http://farm8.staticflickr.com/7172/6736278219_8bc004849e_q.jpg	 http://farm8.staticflickr.com/7172/6736278219_8bc004849e_m.jpg	 http://www.flickr.com/photos/73878803@N05/6736278219	 stuARTfoto	
Mazda 3 MPS	-37.8677	144.9758	 http://farm8.staticflickr.com/7012/6736346029_93b3163a8e_q.jpg	 http://farm8.staticflickr.com/7012/6736346029_93b3163a8e_m.jpg	 http://www.flickr.com/photos/73878803@N05/6736346029	 stuARTfoto	
Graffiti	-37.8677	144.9758	 http://farm8.staticflickr.com/7012/6736262729_2f1e985f71_q.jpg	 http://farm8.staticflickr.com/7012/6736262729_2f1e985f71_m.jpg	 http://www.flickr.com/photos/73878803@N05/6736262729	 stuARTfoto	
Awsem	-37.8677	144.9758	 http://farm8.staticflickr.com/7007/6736397831_d26a2e3a25_q.jpg	 http://farm8.staticflickr.com/7007/6736397831_d26a2e3a25_m.jpg	 http://www.flickr.com/photos/73878803@N05/6736397831	 stuARTfoto	
Graffiti	-37.8677	144.9758	 http://farm8.staticflickr.com/7144/6736443275_903f6a0965_q.jpg	 http://farm8.staticflickr.com/7144/6736443275_903f6a0965_m.jpg	 http://www.flickr.com/photos/73878803@N05/6736443275	 stuARTfoto	
Melbourne Australia	-37.867573	144.978814	 http://farm5.staticflickr.com/4130/4848298174_feea304e88_q.jpg	 http://farm5.staticflickr.com/4130/4848298174_feea304e88_m.jpg	 http://www.flickr.com/photos/10891659@N02/4848298174	 OceanBlue Creative	
Melbourne Australia	-37.867573	144.978814	 http://farm5.staticflickr.com/4083/4847676691_b152fb34b4_q.jpg	 http://farm5.staticflickr.com/4083/4847676691_b152fb34b4_m.jpg	 http://www.flickr.com/photos/10891659@N02/4847676691	 OceanBlue Creative	
Melbourne Australia	-37.867573	144.978814	 http://farm5.staticflickr.com/4110/4847674531_945a318471_q.jpg	 http://farm5.staticflickr.com/4110/4847674531_945a318471_m.jpg	 http://www.flickr.com/photos/10891659@N02/4847674531	 OceanBlue Creative	
Graffiti	-37.867573	144.978814	 http://farm5.staticflickr.com/4029/4443232058_ef3cb19734_q.jpg	 http://farm5.staticflickr.com/4029/4443232058_ef3cb19734_m.jpg	 http://www.flickr.com/photos/10891659@N02/4443232058	 OceanBlue Creative	
Bike Graffiti	-37.867573	144.978814	 http://farm5.staticflickr.com/4032/4443231634_75ec3ffcb1_q.jpg	 http://farm5.staticflickr.com/4032/4443231634_75ec3ffcb1_m.jpg	 http://www.flickr.com/photos/10891659@N02/4443231634	 OceanBlue Creative	
Graffiti	-37.867573	144.978814	 http://farm5.staticflickr.com/4033/4442454637_f44657f738_q.jpg	 http://farm5.staticflickr.com/4033/4442454637_f44657f738_m.jpg	 http://www.flickr.com/photos/10891659@N02/4442454637	 OceanBlue Creative	
Stencils	-37.867573	144.978814	 http://farm5.staticflickr.com/4004/4442454049_27cab71849_q.jpg	 http://farm5.staticflickr.com/4004/4442454049_27cab71849_m.jpg	 http://www.flickr.com/photos/10891659@N02/4442454049	 OceanBlue Creative	
Graffiti in Melbourne Oz	-37.867573	144.978814	 http://farm4.staticflickr.com/3144/2878244939_f37e544925_q.jpg	 http://farm4.staticflickr.com/3144/2878244939_f37e544925_m.jpg	 http://www.flickr.com/photos/10891659@N02/2878244939	 OceanBlue Creative	
Acland St Graffiti	-37.867573	144.978814	 http://farm2.staticflickr.com/1116/1067089832_af7807e940_q.jpg	 http://farm2.staticflickr.com/1116/1067089832_af7807e940_m.jpg	 http://www.flickr.com/photos/10891659@N02/1067089832	 OceanBlue Creative	
jump	-37.867402	144.98204	 http://farm6.staticflickr.com/5040/5889696799_96714cd5ed_q.jpg	 http://farm6.staticflickr.com/5040/5889696799_96714cd5ed_m.jpg	 http://www.flickr.com/photos/61825161@N06/5889696799	 yunkle mallakoff	
Shi Yanzi	-37.867252	144.980156	 http://farm8.staticflickr.com/7048/6965917513_48beba9b1f_q.jpg	 http://farm8.staticflickr.com/7048/6965917513_48beba9b1f_m.jpg	 http://www.flickr.com/photos/61825161@N06/6965917513	 yunkle mallakoff	
stkilda wall	-37.867252	144.980138	 http://farm8.staticflickr.com/7008/6670559511_9bdba84971_q.jpg	 http://farm8.staticflickr.com/7008/6670559511_9bdba84971_m.jpg	 http://www.flickr.com/photos/61825161@N06/6670559511	 yunkle mallakoff	
St Kilda / Stop In The Name Of Love	-37.866921	144.978214	 http://farm3.staticflickr.com/2411/3535276216_00ebce5c3d_q.jpg	 http://farm3.staticflickr.com/2411/3535276216_00ebce5c3d_m.jpg	 http://www.flickr.com/photos/45509598@N00/3535276216	 Megandavid	
St Kilda Graffiti	-37.866858	144.978547	 http://farm3.staticflickr.com/2493/3949366625_18a0bcdc23_q.jpg	 http://farm3.staticflickr.com/2493/3949366625_18a0bcdc23_m.jpg	 http://www.flickr.com/photos/26196707@N06/3949366625	 Kim_Zonny	
mobile girl	-37.866848	144.980689	 http://farm6.staticflickr.com/5183/5886845122_1e51d90ab8_q.jpg	 http://farm6.staticflickr.com/5183/5886845122_1e51d90ab8_m.jpg	 http://www.flickr.com/photos/61825161@N06/5886845122	 yunkle mallakoff	
Ali and mobile girl	-37.866712	144.980601	 http://farm7.staticflickr.com/6147/6004183590_f37651c744_q.jpg	 http://farm7.staticflickr.com/6147/6004183590_f37651c744_m.jpg	 http://www.flickr.com/photos/61825161@N06/6004183590	 yunkle mallakoff	
Red Bird	-37.866557	144.97786	 http://farm8.staticflickr.com/7192/6812538224_36db688ef3_q.jpg	 http://farm8.staticflickr.com/7192/6812538224_36db688ef3_m.jpg	 http://www.flickr.com/photos/52460044@N07/6812538224	 Wonder Westie	
76	-37.866367	144.756975	 http://farm4.staticflickr.com/3616/5823478709_d4c8e3e03a_q.jpg	 http://farm4.staticflickr.com/3616/5823478709_d4c8e3e03a_m.jpg	 http://www.flickr.com/photos/29977619@N03/5823478709	 n0cturbulous	
Britannia Hotel	-37.866062	144.909678	 http://farm9.staticflickr.com/8300/7942902004_0856b85873_q.jpg	 http://farm9.staticflickr.com/8300/7942902004_0856b85873_m.jpg	 http://www.flickr.com/photos/58102202@N07/7942902004	 PVT Photography	
Coloured corner	-37.86427	144.983793	 http://farm8.staticflickr.com/7032/6739296845_b00f81757a_q.jpg	 http://farm8.staticflickr.com/7032/6739296845_b00f81757a_m.jpg	 http://www.flickr.com/photos/70795110@N00/6739296845	 Palmou	
	-37.863741	144.971637	 http://farm4.staticflickr.com/3337/3559722404_e035345a7a_q.jpg	 http://farm4.staticflickr.com/3337/3559722404_e035345a7a_m.jpg	 http://www.flickr.com/photos/31704439@N08/3559722404	 Rabs Gnome Hunter	
wicked art	-37.863741	144.971637	 http://farm4.staticflickr.com/3346/3559737516_61eea9115a_q.jpg	 http://farm4.staticflickr.com/3346/3559737516_61eea9115a_m.jpg	 http://www.flickr.com/photos/31704439@N08/3559737516	 Rabs Gnome Hunter	
Rhino & the King	-37.863741	144.971637	 http://farm3.staticflickr.com/2423/3558940061_4482755d9e_q.jpg	 http://farm3.staticflickr.com/2423/3558940061_4482755d9e_m.jpg	 http://www.flickr.com/photos/31704439@N08/3558940061	 Rabs Gnome Hunter	
Laverton Lady	-37.863165	144.775664	 http://farm8.staticflickr.com/7172/6820485649_742dddb772_q.jpg	 http://farm8.staticflickr.com/7172/6820485649_742dddb772_m.jpg	 http://www.flickr.com/photos/43839823@N07/6820485649	 Raoul's Photos	
There he is again.	-37.861115	144.975671	 http://farm4.staticflickr.com/3550/3824808521_afab671369_q.jpg	 http://farm4.staticflickr.com/3550/3824808521_afab671369_m.jpg	 http://www.flickr.com/photos/41500517@N04/3824808521	 Erin K Stapleton	
Marilyn Munroe Stencil	-37.860334	144.978	 http://farm8.staticflickr.com/7068/6991518079_7660901dd5_q.jpg	 http://farm8.staticflickr.com/7068/6991518079_7660901dd5_m.jpg	 http://www.flickr.com/photos/88955553@N00/6991518079	 nettsu	
Wonder Woman Stencil	-37.860167	144.978	 http://farm8.staticflickr.com/7192/6845390204_46142cfcc9_q.jpg	 http://farm8.staticflickr.com/7192/6845390204_46142cfcc9_m.jpg	 http://www.flickr.com/photos/88955553@N00/6845390204	 nettsu	
Breakfast at Tiffany's Stencil	-37.86	144.978	 http://farm8.staticflickr.com/7070/6845389920_a91db5aa71_q.jpg	 http://farm8.staticflickr.com/7070/6845389920_a91db5aa71_m.jpg	 http://www.flickr.com/photos/88955553@N00/6845389920	 nettsu	
Building_Fence	-37.859828	144.981873	 http://farm5.staticflickr.com/4057/4673330699_5bdb3cb84d_q.jpg	 http://farm5.staticflickr.com/4057/4673330699_5bdb3cb84d_m.jpg	 http://www.flickr.com/photos/61705015@N00/4673330699	 4mtr	
Red Rabbit St.kilda	-37.859811	144.977645	 http://farm7.staticflickr.com/6084/6129616955_c7b18a5740_q.jpg	 http://farm7.staticflickr.com/6084/6129616955_c7b18a5740_m.jpg	 http://www.flickr.com/photos/51434089@N04/6129616955	 red stilletto	
Cup of tea Audrey?	-37.859794	144.977774	 http://farm7.staticflickr.com/6210/6136689140_6bb27aacaa_q.jpg	 http://farm7.staticflickr.com/6210/6136689140_6bb27aacaa_m.jpg	 http://www.flickr.com/photos/51434089@N04/6136689140	 red stilletto	
Red Keg and Rabbit St.Kilda	-37.859726	144.977688	 http://farm7.staticflickr.com/6063/6130162674_140b8c95f9_q.jpg	 http://farm7.staticflickr.com/6063/6130162674_140b8c95f9_m.jpg	 http://www.flickr.com/photos/51434089@N04/6130162674	 red stilletto	
Poster Child	-37.859269	144.982366	 http://farm3.staticflickr.com/2395/2267464223_46c0ac2e1c_q.jpg	 http://farm3.staticflickr.com/2395/2267464223_46c0ac2e1c_m.jpg	 http://www.flickr.com/photos/97356053@N00/2267464223	 gmwils	
Melbourne Ned Kelly Sign	-37.858574	144.992494	 http://farm3.staticflickr.com/2708/4359244366_de311ce8fe_q.jpg	 http://farm3.staticflickr.com/2708/4359244366_de311ce8fe_m.jpg	 http://www.flickr.com/photos/59778596@N00/4359244366	 emmettanderson	
Stairs	-37.856291	144.982774	 http://farm3.staticflickr.com/2030/2162328706_7204614269_q.jpg	 http://farm3.staticflickr.com/2030/2162328706_7204614269_m.jpg	 http://www.flickr.com/photos/93649646@N00/2162328706	 zapcome	
DSC_1440	-37.856291	144.982774	 http://farm3.staticflickr.com/2117/2162328698_872f518665_q.jpg	 http://farm3.staticflickr.com/2117/2162328698_872f518665_m.jpg	 http://www.flickr.com/photos/93649646@N00/2162328698	 zapcome	
DSC_1438	-37.856291	144.982774	 http://farm3.staticflickr.com/2104/2162328692_b57598d97e_q.jpg	 http://farm3.staticflickr.com/2104/2162328692_b57598d97e_m.jpg	 http://www.flickr.com/photos/93649646@N00/2162328692	 zapcome	
Sad Clown	-37.856291	144.982774	 http://farm3.staticflickr.com/2112/2162328688_22298d8e0f_q.jpg	 http://farm3.staticflickr.com/2112/2162328688_22298d8e0f_m.jpg	 http://www.flickr.com/photos/93649646@N00/2162328688	 zapcome	
??	-37.856291	144.982774	 http://farm3.staticflickr.com/2235/2162328682_bfeef97260_q.jpg	 http://farm3.staticflickr.com/2235/2162328682_bfeef97260_m.jpg	 http://www.flickr.com/photos/93649646@N00/2162328682	 zapcome	
Crystal ball	-37.856291	144.982774	 http://farm3.staticflickr.com/2014/2161521949_b5f4fab54e_q.jpg	 http://farm3.staticflickr.com/2014/2161521949_b5f4fab54e_m.jpg	 http://www.flickr.com/photos/93649646@N00/2161521949	 zapcome	
Mr. Peanut	-37.856291	144.982774	 http://farm3.staticflickr.com/2187/2161521945_89c3fd678b_q.jpg	 http://farm3.staticflickr.com/2187/2161521945_89c3fd678b_m.jpg	 http://www.flickr.com/photos/93649646@N00/2161521945	 zapcome	
DSC_1426	-37.856291	144.982774	 http://farm3.staticflickr.com/2257/2161521941_440f259ed2_q.jpg	 http://farm3.staticflickr.com/2257/2161521941_440f259ed2_m.jpg	 http://www.flickr.com/photos/93649646@N00/2161521941	 zapcome	
St. Kilda Junction	-37.856291	144.982774	 http://farm3.staticflickr.com/2324/2161521937_0f64cb4ee4_q.jpg	 http://farm3.staticflickr.com/2324/2161521937_0f64cb4ee4_m.jpg	 http://www.flickr.com/photos/93649646@N00/2161521937	 zapcome	
Tiger	-37.856291	144.982774	 http://farm3.staticflickr.com/2025/2161521931_b658f59ca5_q.jpg	 http://farm3.staticflickr.com/2025/2161521931_b658f59ca5_m.jpg	 http://www.flickr.com/photos/93649646@N00/2161521931	 zapcome	
Bob	-37.856291	144.982774	 http://farm3.staticflickr.com/2324/2162309226_fc64f8a53e_q.jpg	 http://farm3.staticflickr.com/2324/2162309226_fc64f8a53e_m.jpg	 http://www.flickr.com/photos/93649646@N00/2162309226	 zapcome	
DSC_1417	-37.856291	144.982774	 http://farm3.staticflickr.com/2385/2161521915_dc0a6843ae_q.jpg	 http://farm3.staticflickr.com/2385/2161521915_dc0a6843ae_m.jpg	 http://www.flickr.com/photos/93649646@N00/2161521915	 zapcome	
DSC_1421	-37.856291	144.982774	 http://farm3.staticflickr.com/2286/2162309218_9b6035d97b_q.jpg	 http://farm3.staticflickr.com/2286/2162309218_9b6035d97b_m.jpg	 http://www.flickr.com/photos/93649646@N00/2162309218	 zapcome	
DSC_1414	-37.856291	144.982774	 http://farm3.staticflickr.com/2120/2162309190_50fc3ec4ec_q.jpg	 http://farm3.staticflickr.com/2120/2162309190_50fc3ec4ec_m.jpg	 http://www.flickr.com/photos/93649646@N00/2162309190	 zapcome	
St Kilda tram junction wall	-37.856168	144.982688	 http://farm5.staticflickr.com/4013/4681316790_1ba6d03ca0_q.jpg	 http://farm5.staticflickr.com/4013/4681316790_1ba6d03ca0_m.jpg	 http://www.flickr.com/photos/44261753@N05/4681316790	 J-C-M	
St Kilda Junction Graffiti	-37.855897	144.982688	 http://farm5.staticflickr.com/4021/4289924754_f095aa25ac_q.jpg	 http://farm5.staticflickr.com/4021/4289924754_f095aa25ac_m.jpg	 http://www.flickr.com/photos/44261753@N05/4289924754	 J-C-M	
St Kilda Junction Graffiti	-37.855897	144.982688	 http://farm5.staticflickr.com/4048/4285912911_d39f381bf8_q.jpg	 http://farm5.staticflickr.com/4048/4285912911_d39f381bf8_m.jpg	 http://www.flickr.com/photos/44261753@N05/4285912911	 J-C-M	
Melbourne Off Chapel Street Graffiti	-37.85566	144.993309	 http://farm5.staticflickr.com/4069/4358498451_d01b20f7f0_q.jpg	 http://farm5.staticflickr.com/4069/4358498451_d01b20f7f0_m.jpg	 http://www.flickr.com/photos/59778596@N00/4358498451	 emmettanderson	
Hey pretty miss	-37.855449	144.984668	 http://farm5.staticflickr.com/4138/4878472635_dc741969d0_q.jpg	 http://farm5.staticflickr.com/4138/4878472635_dc741969d0_m.jpg	 http://www.flickr.com/photos/47019218@N04/4878472635	 Simon Hampton	
Nightmares	-37.855321	144.98242	 http://farm6.staticflickr.com/5134/5424003838_30b00658bf_q.jpg	 http://farm6.staticflickr.com/5134/5424003838_30b00658bf_m.jpg	 http://www.flickr.com/photos/7940324@N03/5424003838	 Jess Dodd	
Baby Guerilla 'n Mallakoff	-37.855184	144.983585	 http://farm7.staticflickr.com/6004/5996952387_4b51ce5d20_q.jpg	 http://farm7.staticflickr.com/6004/5996952387_4b51ce5d20_m.jpg	 http://www.flickr.com/photos/61825161@N06/5996952387	 yunkle mallakoff	
Pedestrians	-37.855067	144.981079	 http://farm5.staticflickr.com/4082/4881345577_20cbe89078_q.jpg	 http://farm5.staticflickr.com/4082/4881345577_20cbe89078_m.jpg	 http://www.flickr.com/photos/47834818@N05/4881345577	 Missclow	
Luna Park	-37.855067	144.981079	 http://farm5.staticflickr.com/4123/4884441773_88f78b7165_q.jpg	 http://farm5.staticflickr.com/4123/4884441773_88f78b7165_m.jpg	 http://www.flickr.com/photos/47834818@N05/4884441773	 Missclow	
Brusnwick St.	-37.855067	144.981079	 http://farm5.staticflickr.com/4076/4885045456_feb56e7e8f_q.jpg	 http://farm5.staticflickr.com/4076/4885045456_feb56e7e8f_m.jpg	 http://www.flickr.com/photos/47834818@N05/4885045456	 Missclow	
Graffiti	-37.855067	144.981079	 http://farm5.staticflickr.com/4115/4876978499_19abbc92b5_q.jpg	 http://farm5.staticflickr.com/4115/4876978499_19abbc92b5_m.jpg	 http://www.flickr.com/photos/47834818@N05/4876978499	 Missclow	
Aerosol Alley Windsor 2013-03-16 (IMG_2241)	-37.854373	144.992319	 http://farm9.staticflickr.com/8093/8560560449_500f6365ee_q.jpg	 http://farm9.staticflickr.com/8093/8560560449_500f6365ee_m.jpg	 http://www.flickr.com/photos/74822983@N02/8560560449	 ajhaysom	
Aerosol Alley Windsor "Bruised Wayne" 2013-03-16 (IMG_2259-61)	-37.854109	144.992347	 http://farm9.staticflickr.com/8517/8561663260_0749e0cf20_q.jpg	 http://farm9.staticflickr.com/8517/8561663260_0749e0cf20_m.jpg	 http://www.flickr.com/photos/74822983@N02/8561663260	 ajhaysom	
Aerosol Alley Windsor "Pigs" 2013-03-16 (IMG_226222652268)	-37.853981	144.992338	 http://farm9.staticflickr.com/8519/8561211184_634a9665c9_q.jpg	 http://farm9.staticflickr.com/8519/8561211184_634a9665c9_m.jpg	 http://www.flickr.com/photos/74822983@N02/8561211184	 ajhaysom	
Aerosol Alley Windsor 2013-03-16 (IMG_2280-2)	-37.853648	144.992344	 http://farm9.staticflickr.com/8103/8562646595_0605d225b4_q.jpg	 http://farm9.staticflickr.com/8103/8562646595_0605d225b4_m.jpg	 http://www.flickr.com/photos/74822983@N02/8562646595	 ajhaysom	
Masaaki Hatsumi	-37.853621	144.992394	 http://farm6.staticflickr.com/5267/5862352438_c29656cf94_q.jpg	 http://farm6.staticflickr.com/5267/5862352438_c29656cf94_m.jpg	 http://www.flickr.com/photos/61825161@N06/5862352438	 yunkle mallakoff	
Aerosol Alley Windsor 2013-03-16 (IMG_2286-8)	-37.853562	144.992238	 http://farm9.staticflickr.com/8371/8562637955_78970bb973_q.jpg	 http://farm9.staticflickr.com/8371/8562637955_78970bb973_m.jpg	 http://www.flickr.com/photos/74822983@N02/8562637955	 ajhaysom	
Aerosol Alley Windsor "Kaffeine" 2013-03-16 (IMG_2292-4)	-37.853537	144.992136	 http://farm9.staticflickr.com/8112/8561658382_1a15cfbf3f_q.jpg	 http://farm9.staticflickr.com/8112/8561658382_1a15cfbf3f_m.jpg	 http://www.flickr.com/photos/74822983@N02/8561658382	 ajhaysom	
Aerosol Alley Windsor 2013-03-16 (IMG_2304-6)	-37.853456	144.992247	 http://farm9.staticflickr.com/8232/8560564137_59c1b07059_q.jpg	 http://farm9.staticflickr.com/8232/8560564137_59c1b07059_m.jpg	 http://www.flickr.com/photos/74822983@N02/8560564137	 ajhaysom	
walking girl	-37.85343	144.993327	 http://farm6.staticflickr.com/5120/5862362404_0f78edce9e_q.jpg	 http://farm6.staticflickr.com/5120/5862362404_0f78edce9e_m.jpg	 http://www.flickr.com/photos/61825161@N06/5862362404	 yunkle mallakoff	
I can't explain it any further	-37.852831	145.034487	 http://farm4.staticflickr.com/3082/3132325952_fdefe96fc4_q.jpg	 http://farm4.staticflickr.com/3082/3132325952_fdefe96fc4_m.jpg	 http://www.flickr.com/photos/47439204@N00/3132325952	 BlueBec	
